dataset,condition,num_clients,strategy,final_accuracy_mean,final_accuracy_std,final_accuracy_count,best_accuracy_mean
cifar10,noniid_equal,10,fedadam,10.0,0.0,5,17.48
cifar10,noniid_equal,10,fedavg,72.47,0.9,5,72.74
cifar10,noniid_equal,10,fedmean,72.73,0.95,5,72.91
cifar10,noniid_equal,10,fedmedian,68.78,2.68,5,69.23
cifar10,noniid_equal,10,fedsgd,73.0,0.83,5,73.06
cifar10,noniid_equal,10,fedtrimmed,70.54,1.61,5,70.65
cifar10,noniid_equal,10,krum,44.38,9.62,5,47.07
cifar10,noniid_equal,10,multikrum,70.77,1.23,5,70.91
cifar10,noniid_equal,25,fedadam,10.0,0.0,5,15.66
cifar10,noniid_equal,25,fedavg,66.77,0.39,5,66.86
cifar10,noniid_equal,25,fedmean,57.37,11.9,5,58.25
cifar10,noniid_equal,25,fedmedian,47.15,3.82,5,47.77
cifar10,noniid_equal,25,fedsgd,66.49,0.64,5,66.53
cifar10,noniid_equal,25,fedtrimmed,64.35,0.34,5,64.7
cifar10,noniid_equal,25,krum,43.81,4.61,5,47.37
cifar10,noniid_equal,25,multikrum,66.54,0.33,5,66.65
cifar10,noniid_equal,50,fedadam,10.0,0.0,5,15.75
cifar10,noniid_equal,50,fedavg,58.38,0.59,5,58.43
cifar10,noniid_equal,50,fedmean,58.36,0.55,5,58.38
cifar10,noniid_equal,50,fedmedian,53.87,0.74,5,53.87
cifar10,noniid_equal,50,fedsgd,58.34,0.67,5,58.37
cifar10,noniid_equal,50,fedtrimmed,55.91,0.28,5,55.96
cifar10,noniid_equal,50,krum,37.59,5.2,5,41.94
cifar10,noniid_equal,50,multikrum,58.61,0.48,5,58.64
cifar10,noniid_unequal,10,fedadam,10.0,0.0,5,19.11
cifar10,noniid_unequal,10,fedavg,73.68,0.62,5,74.01
cifar10,noniid_unequal,10,fedmean,73.8,0.68,5,73.91
cifar10,noniid_unequal,10,fedmedian,70.34,1.01,5,70.5
cifar10,noniid_unequal,10,fedsgd,73.91,0.44,5,74.23
cifar10,noniid_unequal,10,fedtrimmed,71.44,0.86,5,71.58
cifar10,noniid_unequal,10,krum,39.85,5.16,5,42.4
cifar10,noniid_unequal,10,multikrum,70.37,0.93,5,70.56
cifar10,noniid_unequal,25,fedadam,10.0,0.0,5,13.83
cifar10,noniid_unequal,25,fedavg,69.61,0.29,5,69.65
cifar10,noniid_unequal,25,fedmean,67.84,0.39,5,67.84
cifar10,noniid_unequal,25,fedmedian,63.55,1.35,5,63.69
cifar10,noniid_unequal,25,fedsgd,69.37,0.46,5,69.56
cifar10,noniid_unequal,25,fedtrimmed,65.57,1.29,5,65.72
cifar10,noniid_unequal,25,krum,37.88,5.74,5,40.04
cifar10,noniid_unequal,25,multikrum,66.96,0.84,5,67.19
cifar10,noniid_unequal,50,fedadam,10.0,0.0,5,13.92
cifar10,noniid_unequal,50,fedavg,62.06,0.51,5,62.06
cifar10,noniid_unequal,50,fedmean,59.38,0.53,5,59.39
cifar10,noniid_unequal,50,fedmedian,52.91,1.07,5,52.94
cifar10,noniid_unequal,50,fedsgd,61.91,0.5,5,61.92
cifar10,noniid_unequal,50,fedtrimmed,55.08,1.04,5,55.35
cifar10,noniid_unequal,50,krum,23.38,4.72,5,28.6
cifar10,noniid_unequal,50,multikrum,58.91,0.48,5,58.93
fashion_mnist,noniid_equal,10,fedadam,55.48,41.53,5,66.54
fashion_mnist,noniid_equal,10,fedavg,91.03,0.17,5,91.11
fashion_mnist,noniid_equal,10,fedmean,91.09,0.3,5,91.16
fashion_mnist,noniid_equal,10,fedmedian,89.58,1.91,5,89.76
fashion_mnist,noniid_equal,10,fedsgd,90.92,0.21,5,91.21
fashion_mnist,noniid_equal,10,fedtrimmed,90.52,0.8,5,90.7
fashion_mnist,noniid_equal,10,krum,72.86,6.69,5,74.26
fashion_mnist,noniid_equal,10,multikrum,90.02,0.88,5,90.11
fashion_mnist,noniid_equal,25,fedadam,10.0,0.0,5,40.67
fashion_mnist,noniid_equal,25,fedavg,89.56,0.09,5,89.63
fashion_mnist,noniid_equal,25,fedmean,89.58,0.13,5,89.59
fashion_mnist,noniid_equal,25,fedmedian,88.9,0.34,5,88.93
fashion_mnist,noniid_equal,25,fedsgd,89.58,0.08,5,89.61
fashion_mnist,noniid_equal,25,fedtrimmed,89.2,0.23,5,89.25
fashion_mnist,noniid_equal,25,krum,79.57,2.01,5,82.43
fashion_mnist,noniid_equal,25,multikrum,89.6,0.19,5,89.63
fashion_mnist,noniid_equal,50,fedadam,10.0,0.0,5,37.86
fashion_mnist,noniid_equal,50,fedavg,87.86,0.36,5,87.86
fashion_mnist,noniid_equal,50,fedmean,87.78,0.31,5,87.78
fashion_mnist,noniid_equal,50,fedmedian,87.06,0.23,5,87.09
fashion_mnist,noniid_equal,50,fedsgd,87.79,0.31,5,87.82
fashion_mnist,noniid_equal,50,fedtrimmed,87.39,0.31,5,87.39
fashion_mnist,noniid_equal,50,krum,79.83,1.26,5,81.07
fashion_mnist,noniid_equal,50,multikrum,87.76,0.3,5,87.77
fashion_mnist,noniid_unequal,10,fedadam,72.24,34.8,5,78.48
fashion_mnist,noniid_unequal,10,fedavg,91.54,0.36,5,91.71
fashion_mnist,noniid_unequal,10,fedmean,91.51,0.16,5,91.58
fashion_mnist,noniid_unequal,10,fedmedian,91.14,0.36,5,91.19
fashion_mnist,noniid_unequal,10,fedsgd,91.51,0.45,5,91.71
fashion_mnist,noniid_unequal,10,fedtrimmed,91.23,0.35,5,91.27
fashion_mnist,noniid_unequal,10,krum,73.64,3.34,5,77.64
fashion_mnist,noniid_unequal,10,multikrum,90.56,0.21,5,90.7
fashion_mnist,noniid_unequal,25,fedadam,10.0,0.0,5,48.9
fashion_mnist,noniid_unequal,25,fedavg,73.16,35.32,5,73.52
fashion_mnist,noniid_unequal,25,fedmean,88.85,1.63,5,89.3
fashion_mnist,noniid_unequal,25,fedmedian,88.35,0.89,5,88.54
fashion_mnist,noniid_unequal,25,fedsgd,90.15,0.38,5,90.2
fashion_mnist,noniid_unequal,25,fedtrimmed,89.26,0.29,5,89.4
fashion_mnist,noniid_unequal,25,krum,78.52,1.64,5,80.39
fashion_mnist,noniid_unequal,25,multikrum,89.71,0.15,5,89.74
fashion_mnist,noniid_unequal,50,fedadam,10.0,0.0,5,45.43
fashion_mnist,noniid_unequal,50,fedavg,88.64,0.26,5,88.68
fashion_mnist,noniid_unequal,50,fedmean,88.17,0.2,5,88.21
fashion_mnist,noniid_unequal,50,fedmedian,87.25,0.28,5,87.28
fashion_mnist,noniid_unequal,50,fedsgd,88.64,0.3,5,88.65
fashion_mnist,noniid_unequal,50,fedtrimmed,87.59,0.12,5,87.6
fashion_mnist,noniid_unequal,50,krum,73.75,3.13,5,75.97
fashion_mnist,noniid_unequal,50,multikrum,88.04,0.26,5,88.09
mnist,noniid_equal,10,fedadam,90.17,18.65,5,93.67
mnist,noniid_equal,10,fedavg,99.24,0.12,5,99.27
mnist,noniid_equal,10,fedmean,99.24,0.11,5,99.27
mnist,noniid_equal,10,fedmedian,98.77,0.79,5,98.85
mnist,noniid_equal,10,fedsgd,99.25,0.11,5,99.28
mnist,noniid_equal,10,fedtrimmed,98.33,1.67,5,98.36
mnist,noniid_equal,10,krum,90.07,6.03,5,91.07
mnist,noniid_equal,10,multikrum,98.0,2.38,5,98.04
mnist,noniid_equal,25,fedadam,61.8,47.37,5,82.32
mnist,noniid_equal,25,fedavg,99.08,0.06,5,99.13
mnist,noniid_equal,25,fedmean,99.07,0.07,5,99.12
mnist,noniid_equal,25,fedmedian,98.93,0.08,5,98.95
mnist,noniid_equal,25,fedsgd,99.09,0.07,5,99.13
mnist,noniid_equal,25,fedtrimmed,98.99,0.05,5,99.04
mnist,noniid_equal,25,krum,92.19,1.81,5,93.43
mnist,noniid_equal,25,multikrum,99.08,0.07,5,99.1
mnist,noniid_equal,50,fedadam,10.48,0.8,5,52.24
mnist,noniid_equal,50,fedavg,98.76,0.04,5,98.8
mnist,noniid_equal,50,fedmean,98.8,0.03,5,98.8
mnist,noniid_equal,50,fedmedian,98.55,0.03,5,98.56
mnist,noniid_equal,50,fedsgd,98.77,0.03,5,98.77
mnist,noniid_equal,50,fedtrimmed,98.66,0.04,5,98.68
mnist,noniid_equal,50,krum,90.09,2.99,5,92.52
mnist,noniid_equal,50,multikrum,98.75,0.06,5,98.78
mnist,noniid_unequal,10,fedadam,98.67,0.15,5,98.77
mnist,noniid_unequal,10,fedavg,99.23,0.04,5,99.28
mnist,noniid_unequal,10,fedmean,99.25,0.06,5,99.3
mnist,noniid_unequal,10,fedmedian,99.22,0.06,5,99.25
mnist,noniid_unequal,10,fedsgd,99.22,0.08,5,99.28
mnist,noniid_unequal,10,fedtrimmed,99.21,0.05,5,99.26
mnist,noniid_unequal,10,krum,91.22,4.77,5,93.13
mnist,noniid_unequal,10,multikrum,99.13,0.07,5,99.17
mnist,noniid_unequal,25,fedadam,52.71,43.98,5,76.6
mnist,noniid_unequal,25,fedavg,99.06,0.04,5,99.08
mnist,noniid_unequal,25,fedmean,98.96,0.08,5,99.07
mnist,noniid_unequal,25,fedmedian,98.89,0.09,5,98.93
mnist,noniid_unequal,25,fedsgd,99.13,0.11,5,99.13
mnist,noniid_unequal,25,fedtrimmed,99.02,0.06,5,99.05
mnist,noniid_unequal,25,krum,90.32,3.04,5,93.27
mnist,noniid_unequal,25,multikrum,99.04,0.1,5,99.05
mnist,noniid_unequal,50,fedadam,27.85,38.21,5,63.48
mnist,noniid_unequal,50,fedavg,98.9,0.08,5,98.93
mnist,noniid_unequal,50,fedmean,98.82,0.05,5,98.83
mnist,noniid_unequal,50,fedmedian,98.56,0.09,5,98.57
mnist,noniid_unequal,50,fedsgd,98.88,0.05,5,98.92
mnist,noniid_unequal,50,fedtrimmed,98.61,0.07,5,98.66
mnist,noniid_unequal,50,krum,89.73,4.52,5,93.07
mnist,noniid_unequal,50,multikrum,98.82,0.1,5,98.85
